Month,Day,Year, PRECIP,Counts1,Counts2,Counts3,Counts4,Counts5,Counts6,Counts7,Counts8,Counts9,Counts10,Counts11,Counts12,Counts13,Counts14,Counts15,Counts16,Counts17,Counts18,Counts19,Counts20
5,15,2023,0.03,4,2,5,8,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1
5,16,2023,0.93,1244,731,940,330,33944,1182,609,4795,123,986,566,724,4808,4976,22172,114301,21601,1280,4794,3993
5,17,2023,0,2909,1727,1742,413,80876,1986,1046,8352,118,1558,818,996,7591,6162,36062,257621,27832,1729,6034,6108
5,18,2023,0,3119,1806,1887,414,59651,1966,1361,9796,78,1652,821,943,13097,5454,36263,337231,25269,2048,6070,6182
5,19,2023,0.23,2200,1362,1797,314,59010,1975,1373,10796,86,1637,983,944,10990,12165,36783,351997,21117,2167,6019,6193
5,20,2023,0.18,1643,1326,1766,239,44222,1954,1302,10892,76,1572,1190,994,9262,35966,41083,247780,6328,2257,5873,6092
5,21,2023,0.23,1361,1185,1821,245,25702,1919,1339,11226,60,1447,1067,1037,11443,40778,41058,155220,2929,2376,5906,6099
5,22,2023,0,865,1086,1771,232,20577,1917,1344,10601,52,1316,987,1043,10603,43191,41452,99181,1459,2150,5948,6103
5,23,2023,0.53,208,1043,1693,224,18936,1920,1343,9953,47,1274,957,1133,10258,38925,41441,91866,1017,1879,5793,6087
5,24,2023,0.01,228,985,1653,225,17295,1940,1308,9659,23,1206,921,1335,10540,38197,44089,80767,840,1259,5777,5989
5,25,2023,0,219,926,1654,209,18362,1974,1396,9049,38,1241,897,1499,10707,43783,47628,86610,756,1003,5837,6048
5,26,2023,0,228,939,1648,179,16727,2008,1337,8458,21,1216,884,1579,10777,45813,50400,101689,678,1007,5826,5902
5,27,2023,0,241,956,1671,156,14688,2012,1341,7803,31,1227,884,1621,10762,48368,49606,110976,668,900,5627,5858
5,28,2023,0,248,944,1690,136,12782,2021,1353,7313,23,1248,882,1615,10753,42981,46929,111018,618,775,5605,5808
5,29,2023,0.1,226,968,1668,160,12320,2020,1341,7044,19,1216,876,1587,10788,42115,48768,94472,665,667,5430,5796
5,30,2023,0,290,982,1674,184,9090,1999,1380,6857,15,1204,872,1556,10753,47214,44398,69923,491,482,5571,5877
5,31,2023,0,304,962,1660,163,6264,1918,1318,6326,5,1179,868,1545,11003,51184,45476,15687,599,415,5480,5840
6,1,2023,0,300,926,1604,157,3510,1838,1353,5600,3,1186,868,1536,11074,58160,45225,1747,505,385,5704,5899
6,2,2023,0.52,212,915,1617,141,846,1819,1278,4520,1,1149,868,1539,11339,57311,47247,775,492,290,5772,5929
6,3,2023,0,167,856,1613,145,399,1792,1260,3493,3,1180,867,1534,11536,56453,47739,1327,474,346,5675,5945
6,4,2023,0.35,142,846,1560,138,239,1787,1270,2619,1,1141,874,1515,11929,51822,46289,409,458,492,5714,5860
6,5,2023,0,133,813,1564,128,201,1776,1301,2515,1,1139,861,1511,12038,49773,46859,947,514,552,5691,5774
6,6,2023,0.08,118,800,1604,142,318,1834,1243,2457,1,1163,859,1513,11646,46403,44434,690,515,457,5680,5791
6,7,2023,0,112,791,1613,111,325,1951,1228,2238,0,1166,849,1502,11246,45553,47118,568,488,426,5725,5764
6,8,2023,0.53,120,771,1575,117,320,1937,1238,2005,2,1169,827,1478,10899,42032,43870,488,495,310,5678,5724
6,9,2023,0,107,748,1602,116,294,1928,1169,1793,1,1170,813,1469,10833,38185,46516,591,572,217,5653,5719
6,10,2023,0,111,740,1600,119,255,1917,1124,1450,1,1117,811,1449,10542,40574,42714,721,659,254,5641,5787
6,11,2023,0,109,711,1557,113,221,1930,1134,1229,1,1137,804,1417,10398,35759,45720,504,691,177,5566,5663
6,12,2023,0,80,690,1535,114,198,1902,1094,1002,1,1102,803,1378,10395,31789,53893,153,233,174,5534,5715
6,13,2023,0,145,674,1554,115,215,1887,1067,821,2,1102,793,1345,10209,29169,54726,94,41,202,5421,5667
