Time,logger1,logger2,logger3,logger4,logger5,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15,logger16,logger17,logger18,logger19,logger20
16-May-23,1244,731,940,330,33944,1204,616,4881,125,1004,574,735,4889,5044,22550,116442,21955,1296,4866,4058
17-May-23,2909,1727,1742,413,80876,1984,1051,8353,117,1557,819,995,7587,6151,36081,258892,27746,1734,6029,6107
18-May-23,3119,1806,1887,414,59651,1967,1361,9835,77,1653,820,943,13245,5458,36263,337609,25272,2050,6065,6183
19-May-23,2200,1362,1797,314,59010,1975,1375,10773,87,1638,988,944,10857,12462,36822,351898,20919,2165,6022,6195
20-May-23,1643,1326,1766,239,44222,1953,1302,10907,76,1570,1189,995,9271,36003,41080,246275,6314,2259,5861,6088
21-May-23,1361,1185,1821,245,25702,1919,1342,11226,59,1443,1066,1037,11459,40844,41044,154183,2886,2375,5924,6100
22-May-23,865,1086,1771,232,20577,1917,1339,10585,53,1315,986,1043,10592,43156,41468,99008,1455,2153,5932,6105
23-May-23,208,1043,1693,224,18936,1920,1344,9954,46,1276,957,1135,10258,38886,41430,91817,1013,1868,5803,6084
24-May-23,228,985,1653,225,17295,1940,1309,9651,23,1205,921,1337,10544,38238,44130,80611,843,1258,5772,5993
25-May-23,219,926,1654,209,18362,1975,1393,9041,38,1242,896,1500,10708,43796,47701,86853,752,1001,5836,6043
26-May-23,228,939,1648,179,16727,2008,1340,8456,22,1216,885,1580,10776,45890,50386,101774,679,1005,5825,5903
27-May-23,241,956,1671,156,14688,2012,1344,7797,30,1228,884,1621,10764,48312,49590,111104,667,900,5626,5859
28-May-23,248,944,1690,136,12782,2021,1351,7305,23,1245,881,1614,10752,42953,46958,110799,617,773,5611,5805
29-May-23,226,968,1668,160,12320,2020,1343,7043,19,1217,876,1588,10788,42141,48694,94391,666,666,5424,5797
30-May-23,290,982,1674,184,9090,1999,1378,6859,15,1205,872,1555,10752,47262,44436,69356,491,479,5575,5877
31-May-23,304,962,1660,163,6264,1916,1317,6316,5,1178,868,1545,11008,51230,45448,15345,598,421,5479,5840
1-Jun-23,300,926,1604,157,3510,1838,1352,5594,3,1187,868,1536,11073,58207,45220,1734,505,378,5699,5896
2-Jun-23,212,915,1617,141,846,1819,1275,4497,1,1146,868,1539,11341,57310,47317,774,497,290,5779,5933
3-Jun-23,167,856,1613,145,399,1793,1266,3486,3,1181,867,1534,11542,56381,47660,1331,469,349,5680,5944
4-Jun-23,142,846,1560,138,239,1785,1265,2614,1,1140,874,1514,11933,51838,46330,413,457,489,5715,5859
5-Jun-23,133,813,1564,128,201,1776,1302,2518,1,1138,861,1512,12036,49715,46826,939,515,555,5682,5776
6-Jun-23,118,800,1604,142,318,1836,1246,2454,1,1164,859,1513,11639,46394,44478,689,511,457,5676,5790
7-Jun-23,112,791,1613,111,325,1952,1225,2243,0,1164,849,1502,11243,45556,47054,571,491,425,5732,5763
8-Jun-23,120,771,1575,117,320,1936,1239,1998,2,1171,827,1477,10897,41958,43903,485,495,311,5666,5723
9-Jun-23,107,748,1602,116,294,1929,1170,1792,1,1167,813,1469,10830,38239,46494,592,574,216,5663,5721
10-Jun-23,111,740,1600,119,255,1916,1126,1444,1,1121,810,1449,10540,40497,42709,725,657,250,5640,5785
11-Jun-23,109,711,1557,113,221,1930,1133,1228,1,1137,805,1416,10399,35742,45791,497,693,178,5566,5663
12-Jun-23,80,690,1535,114,198,1902,1091,1001,1,1099,802,1378,10395,31712,53969,152,226,174,5535,5711
13-Jun-23,145,674,1554,115,215,1887,1067,822,2,1104,793,1345,10205,29184,54667,95,42,205,5419,5667
14-Jun-23,143,656,1530,104,192,1911,1037,693,1,1095,788,1292,10126,26700,53273,64,27,167,5420,5668
15-Jun-23,135,633,1516,109,204,1908,1013,609,2,1098,790,1236,10249,23476,56162,46,22,141,5412,5640
16-Jun-23,126,605,1471,93,192,1912,996,547,1,1079,793,1174,10097,21432,53865,37,19,191,5306,5704
17-Jun-23,121,595,1554,101,171,1901,955,612,1,1128,797,1135,9957,20161,51485,30,21,246,5216,5644
18-Jun-23,105,574,1537,71,181,1895,961,486,1,1118,798,1102,9745,17980,53490,34,19,283,5082,5653
19-Jun-23,112,556,1473,95,168,1889,918,474,0,1049,796,1127,9481,15421,57485,34,19,293,4971,5557
20-Jun-23,94,545,1469,68,157,1868,914,414,2,1070,794,1045,9332,14283,62060,37,22,198,4822,5468
21-Jun-23,90,542,1466,63,142,1858,888,350,3,1101,797,988,9201,14430,58133,38,27,161,4685,5457
22-Jun-23,83,569,1425,83,128,1867,877,358,0,1064,800,961,9311,12374,62839,28,15,142,4524,5330
23-Jun-23,83,552,1430,69,145,1855,825,341,2,1052,804,942,8211,11715,61574,25,16,76,4250,5242
24-Jun-23,83,555,1451,80,138,1842,784,321,0,1036,798,940,7088,9623,62480,26,15,104,4125,5220
25-Jun-23,79,541,1465,70,124,1830,798,287,1,1047,800,932,6950,8721,61996,40,21,103,3913,5163
26-Jun-23,55,503,1467,57,109,1819,748,268,3,1022,802,903,6775,8401,61578,44,22,68,3736,5089
27-Jun-23,64,488,1452,47,102,1808,741,223,0,1013,808,880,6815,8988,60185,47,23,47,3607,5021
28-Jun-23,58,474,1438,59,109,1800,759,235,3,1019,807,872,6736,8595,58268,36,21,63,3414,5008
29-Jun-23,64,463,1428,68,96,1790,706,236,4,1034,803,856,6608,8291,58297,38,21,59,3247,4977
30-Jun-23,69,465,1442,66,96,1814,653,227,1,1017,801,855,6493,7850,58479,45,22,85,3051,4918
1-Jul-23,69,450,1437,44,119,1817,802,212,1,1049,796,851,6849,6969,58473,41,23,118,3050,4858
2-Jul-23,54,438,1448,67,119,1823,787,214,2,1019,791,848,7228,5702,58021,40,22,178,2831,4805
3-Jul-23,64,436,1456,50,101,1825,806,173,1,998,786,844,6968,6361,53944,42,21,270,2829,4702
4-Jul-23,84,428,1414,50,79,1824,765,177,4,995,778,804,6749,6479,53305,42,22,234,2698,4672
5-Jul-23,85,412,1442,60,77,1839,744,162,3,973,773,776,6652,6770,50989,38,22,385,2703,4645
6-Jul-23,72,403,1436,68,94,1823,743,162,2,983,765,758,6602,6853,52415,36,20,697,2576,4623
7-Jul-23,88,399,1458,74,100,1821,721,143,0,957,759,728,6600,7378,50389,41,20,733,2526,4581
8-Jul-23,76,404,1443,66,108,1824,726,119,3,985,751,708,6736,7414,46992,43,22,745,2408,4561
9-Jul-23,47,398,1439,63,110,1804,698,115,0,1005,748,678,6753,6424,48171,36,22,607,2314,4577
10-Jul-23,88,393,1396,74,103,1791,726,108,4,992,742,665,6670,7091,47333,38,20,691,2346,4596
11-Jul-23,63,392,1424,70,95,1791,695,104,0,986,738,657,6496,7562,46519,33,20,931,2265,4545
12-Jul-23,58,386,1422,61,97,1791,689,117,1,985,734,639,6481,8419,45326,35,21,936,2184,4512
13-Jul-23,78,382,1404,53,117,1780,668,116,3,973,726,629,6551,8895,44090,40,20,962,2209,4534
14-Jul-23,72,387,1363,65,90,1773,621,113,2,975,723,624,6553,8505,43451,38,20,962,2185,4463
15-Jul-23,58,381,1334,61,84,1773,623,107,3,955,746,640,6432,7604,41723,34,22,1016,2087,4455
